ACQ_INST_ID,RETAILER_ID,TOTAL_TXN_CNT,MESSAGE_TYPE,PROCESSING_CODE,CHANNEL_TYPE,TOTAL_AMOUNT,TOTAL_COMMISSION,TOTAL_TAX,TOTAL_DISCOUNT,FINAL_AMOUNT
0012,125002644591,7,0210,000000,GPGMVP,21250,532,99,630,20620
0012,157651469234,3,0210,000000,GPGMVP,37000,926,176,1101,35900
0012,814427608520,52,0210,000000,GPGMVP,279640,6999,1333,8322,271322
0012,161500619376,8,0210,000000,GPGMVP,41200,1031,196,1227,39975
0012,245343556990,26,0210,000000,GPGMVP,117300,2938,559,3488,113814
0012,687861535551,11,0210,000000,GPGMVP,37650,943,179,1120,36531
0012,109978789743,4,0210,000000,GPGMVP,24000,601,114,715,23285
0012,131569104755,33,0210,000000,GPGMVP,142800,3574,681,4252,138551
0012,762295745289,13,0210,000000,GPGMVP,78940,1973,376,2349,76591
0012,182136858456,16,0210,000000,GPGMVP,91080,2280,433,2707,88373
0012,166623735304,7,0210,000000,GPGMVP,50200,1258,240,1493,48707
0012,621201161873,8,0210,000000,GPGMVP,44200,1106,208,1314,42886
0012,128587817023,34,0210,000000,GPGMVP,143000,3584,684,4254,138751
0012,109347171577,3,0210,000000,GPGMVP,14790,370,70,440,14351
0012,183667637222,23,0210,000000,GPGMVP,92480,2316,441,2752,89729
0012,167929870640,1,0210,000000,GPGMVP,10000,250,48,298,9703
0012,122169947733,35,0210,000000,GPGMVP,176270,4412,837,5243,171027
0012,105950233352,13,0210,000000,GPGMVP,103800,2595,495,3090,100714
0012,152549671889,4,0210,000000,GPGMVP,30400,760,144,904,29496
0012,966190146256,7,0210,000000,GPGMVP,21410,535,103,638,20772
0012,161154122198,10,0210,000000,GPGMVP,44840,1124,213,1334,43506
0012,176829504698,8,0210,000000,GPGMVP,30390,761,145,905,29486
0012,155735868406,4,0210,000000,GPGMVP,33000,825,158,983,32020
0012,151142734369,15,0210,000000,GPGMVP,60750,1521,288,1807,58943
0012,119578499368,2,0210,000000,GPGMVP,19500,488,93,580,18920
0012,879224561506,4,0210,000000,GPGMVP,13000,325,63,388,12614
0012,237297594556,50,0210,000000,GPGMVP,178920,4481,852,5323,173597
0012,992557347214,40,0210,000000,GPGMVP,162710,4071,774,4843,157869
0012,142479280445,15,0210,000000,GPGMVP,86550,2165,411,2576,83975
0012,153881457447,4,0210,000000,GPGMVP,20000,500,96,596,19406
0012,819493341247,10,0210,000000,GPGMVP,155020,3877,737,4615,150407
0012,147063528594,8,0210,000000,GPGMVP,82600,2065,393,2458,80142
0012,165653714280,33,0210,000000,GPGMVP,154000,3850,737,4587,149426
0012,775224381855,30,0210,000000,GPGMVP,189000,4730,902,5626,183378
0012,199147765626,4,0210,000000,GPGMVP,30000,750,143,893,29108
0012,107048759739,3,0210,000000,GPGMVP,27700,694,132,824,26876
0012,116947835273,7,0210,000000,GPGMVP,28990,725,138,862,28129
0012,921412003527,15,0210,000000,GPGMVP,113500,2841,540,3377,110124
0012,111295003691,2,0210,000000,GPGMVP,6800,170,32,202,6598
0012,764201724713,9,0210,000000,GPGMVP,37380,936,178,1112,36269
0012,184340999885,7,0210,000000,GPGMVP,30338,759,144,903,29435
0012,166298691415,17,0210,000000,GPGMVP,82990,2077,395,2469,80521
0012,706944976616,5,0210,000000,GPGMVP,13200,331,63,393,12808
0012,101682937248,8,0210,000000,GPGMVP,51400,1288,245,1528,49872
0012,179087167879,35,0210,000000,GPGMVP,120980,3031,576,3602,117380
0012,128108169275,29,0210,000000,GPGMVP,101130,2531,482,3011,98120
0012,109182831730,22,0210,000000,GPGMVP,89850,2250,426,2674,87177
0012,885186038411,90,0210,000000,GPGMVP,491900,12325,2353,14631,477282
