ACQ_INST_ID,RETAILER_ID,TOTAL_TXN_CNT,MESSAGE_TYPE,PROCESSING_CODE,CHANNEL_TYPE,TOTAL_AMOUNT,TOTAL_COMMISSION,TOTAL_TAX,TOTAL_DISCOUNT,FINAL_AMOUNT
0012,179022694062,45,0210,000000,GPMPOS,314431,4851,923,5772,308659
0012,773168563006,71,0210,000000,GPMPOS,271100,4037,769,4807,266293
0012,163255573889,6,0210,000000,GPMPOS,15950,238,46,282,15668
0012,768032597974,152,0210,000000,GPMPOS,630248,9468,1802,11265,618983
0012,951586450402,44,0210,000000,GPMPOS,254990,3800,722,4521,250469
0012,119493484436,67,0210,000000,GPMPOS,279280,4660,881,5538,273742
0012,121256898361,38,0210,000000,GPMPOS,208910,3150,597,3751,205159
0012,851955182543,22,0210,000000,GPMPOS,114380,1816,346,2163,112218
0012,137184587316,63,0210,000000,GPMPOS,291740,4343,826,5171,286569
0012,106244563626,17,0210,000000,GPMPOS,72090,1076,204,1277,70813
0012,774440669616,83,0210,000000,GPMPOS,356690,5641,1074,6715,349975
0012,917720015242,82,0210,000000,GPMPOS,558173,8431,1602,10029,548144
0012,249379408411,24,0210,000000,GPMPOS,56000,844,164,1004,54996
0012,109683693480,40,0210,000000,GPMPOS,162610,2423,461,2884,159726
0012,170347282273,11,0210,000000,GPMPOS,30000,447,85,533,29467
0012,893669179832,29,0210,000000,GPMPOS,94400,1421,271,1688,92712
0012,170092997399,25,0210,000000,GPMPOS,82760,1232,236,1466,81294
0012,108606527510,71,0210,000000,GPMPOS,276080,4117,782,4893,271187
0012,165716167736,77,0210,000000,GPMPOS,591040,8964,1700,10664,580376
0012,179723100799,48,0210,000000,GPMPOS,247140,3809,721,4535,242605
0012,771113966487,18,0210,000000,GPMPOS,69870,1061,203,1258,68612
0012,118925104714,15,0210,000000,GPMPOS,107400,1601,305,1902,105498
0012,191705502730,21,0210,000000,GPMPOS,83310,1239,234,1476,81834
0012,114790150409,9,0210,000000,GPMPOS,34010,506,98,602,33408
0012,122116816279,60,0210,000000,GPMPOS,247540,3686,700,4385,243155
0012,120277655312,55,0210,000000,GPMPOS,334100,5107,972,6070,328030
0012,188686999664,37,0210,000000,GPMPOS,201170,2998,571,3567,197603
0012,109431023879,20,0210,000000,GPMPOS,82710,1271,243,1511,81199
0012,123605518858,184,0210,000000,GPMPOS,939049,14542,2757,17302,921747
0012,114168782041,29,0210,000000,GPMPOS,162250,2418,459,2879,159371
0012,771258641697,96,0210,000000,GPMPOS,370760,5647,1077,6718,364042
0012,223876895407,68,0210,000000,GPMPOS,216630,3401,648,4046,212584
0012,809914796094,91,0210,000000,GPMPOS,477730,7513,1424,8935,468795
0012,760775628040,53,0210,000000,GPMPOS,431300,0,0,0,431300
0012,765055595637,35,0210,000000,GPMPOS,428800,6681,1274,7951,420850
0012,117539730768,74,0210,000000,GPMPOS,237940,3594,687,4278,233662
0012,177343105802,46,0210,000000,GPMPOS,240570,3582,682,4267,236303
0012,248381838197,50,0210,000000,GPMPOS,243630,3632,688,4321,239309
0012,112560367817,103,0210,000000,GPMPOS,695470,10687,2031,12718,682752
0012,737526517073,19,0210,000000,GPMPOS,76810,1145,217,1364,75446
0012,789532493875,22,0210,000000,GPMPOS,87230,1301,249,1548,85682
0012,120817778986,9,0210,000000,GPMPOS,95420,1421,272,1692,93728
0012,879805202167,4,0210,000000,GPMPOS,11740,175,34,209,11531
0012,139487289094,12,0210,000000,GPMPOS,48630,725,138,865,47765
0012,121701262241,28,0210,000000,GPMPOS,125120,1865,353,2218,122902
0012,605721775556,35,0210,000000,GPMPOS,159560,2379,453,2825,156735
0012,552568817202,16,0210,000000,GPMPOS,53530,796,149,950,52580
0012,140470782680,12,0210,000000,GPMPOS,46840,707,136,842,45998
0012,188790153178,44,0210,000000,GPMPOS,259670,3871,736,4606,255064
0012,121112632049,18,0210,000000,GPMPOS,52500,782,150,931,51569
0012,144146476486,17,0210,000000,GPMPOS,51870,0,0,0,51870
0012,141884316398,6,0210,000000,GPMPOS,23800,356,67,421,23379
0012,116563282063,19,0210,000000,GPMPOS,96800,1440,274,1717,95083
0012,152017648679,19,0210,000000,GPMPOS,102940,1534,290,1824,101116
0012,910663116147,5,0420,000000,GPMPOS,17400,259,50,309,17091
0012,133032042235,48,0210,000000,GPMPOS,196480,2928,557,3484,192996
0012,134101841911,21,0210,000000,GPMPOS,110680,1697,323,2016,108664
0012,118975922248,22,0210,000000,GPMPOS,101960,1520,287,1807,100153
0012,775246013996,170,0210,000000,GPMPOS,430100,6668,1264,7945,422155
0012,120914586172,35,0210,000000,GPMPOS,179580,2677,510,3182,176398
0012,146862336578,37,0210,000000,GPMPOS,129900,2045,386,2428,127472
0012,103659761623,85,0210,000000,GPMPOS,299225,4514,858,5363,293862
0012,925485534969,11,0210,000000,GPMPOS,40750,608,113,723,40027
0012,120046188701,1,0210,000000,GPMPOS,2000,30,6,35,1965
0012,146176185320,28,0210,000000,GPMPOS,108860,1621,310,1934,106926
0012,122958445570,16,0210,000000,GPMPOS,59900,916,173,1089,58811
0012,119377824272,36,0210,000000,GPMPOS,97920,1459,277,1736,96184
0012,131188651998,39,0210,000000,GPMPOS,177150,2638,502,3142,174008
0012,158990500847,26,0210,000000,GPMPOS,231400,3449,656,4105,227295
0012,743128210805,50,0210,000000,GPMPOS,214830,3328,633,3963,210867
0012,133560309047,52,0210,000000,GPMPOS,207350,3088,589,3675,203675
0012,793871167323,19,0210,000000,GPMPOS,59850,952,181,1132,58718
0012,134945544138,48,0210,000000,GPMPOS,187750,2906,551,3456,184294
0012,195838667380,17,0210,000000,GPMPOS,53830,827,157,984,52846
0012,134698991080,56,0210,000000,GPMPOS,210510,3180,608,3788,206722
0012,138574845875,3,0210,000000,GPMPOS,8470,127,24,151,8319
0012,776873190583,65,0210,000000,GPMPOS,525900,8270,1570,9837,516063
0012,135227160145,40,0210,000000,GPMPOS,118610,1768,334,2103,116507
0012,259588136799,10,0210,000000,GPMPOS,20660,308,58,366,20294
0012,968086964817,13,0210,000000,GPMPOS,44000,656,123,779,43221
0012,107395531202,19,0210,000000,GPMPOS,71630,1069,202,1274,70356
0012,107762390424,19,0210,000000,GPMPOS,75970,1132,216,1347,74623
0012,241809833456,24,0210,000000,GPMPOS,170100,2534,483,3017,167083
0012,133140790666,32,0210,000000,GPMPOS,106310,1660,315,1981,104329
0012,821773795920,41,0210,000000,GPMPOS,187430,2789,530,3323,184107
0012,142569638531,53,0210,000000,GPMPOS,189980,2830,539,3369,186611
0012,771218289010,46,0210,000000,GPMPOS,229300,3610,685,4297,225003
0012,134994124273,41,0210,000000,GPMPOS,161850,2432,462,2893,158957
0012,152164317273,23,0210,000000,GPMPOS,89190,1356,256,1617,87573
0012,751656173719,10,0210,000000,GPMPOS,44460,695,131,826,43634
0012,168720507319,49,0210,000000,GPMPOS,225660,3691,700,4392,221268
0012,142869746304,4,0210,000000,GPMPOS,16900,252,48,300,16600
0012,131608872207,21,0210,000000,GPMPOS,106800,1590,301,1893,104907
0012,107871890933,18,0210,000000,GPMPOS,71230,1062,200,1263,69967
0012,800245656450,11,0210,000000,GPMPOS,32940,490,94,585,32355
0012,219768362993,5,0210,000000,GPMPOS,8500,126,24,150,8350
0012,773738566255,8,0210,000000,GPMPOS,27100,612,118,728,26375
0012,141330147865,78,0210,000000,GPMPOS,269220,4084,776,4852,264368
0012,109572979149,4,0210,000000,GPMPOS,18000,268,52,319,17681
0012,102008526706,3,0210,000000,GPMPOS,81400,1214,230,1443,79957
0012,151462998108,14,0210,000000,GPMPOS,74360,1114,210,1324,73036
0012,155379859376,43,0210,000000,GPMPOS,172110,2590,490,3080,169030
0012,182289881451,30,0210,000000,GPMPOS,101777,1516,288,1805,99972
0012,107260722863,32,0210,000000,GPMPOS,137850,2053,391,2444,135406
0012,142883210991,3,0210,000000,GPMPOS,18700,279,53,332,18368
0012,146892167701,39,0210,000000,GPMPOS,96670,1500,285,1786,94884
0012,137800459333,14,0210,000000,GPMPOS,84750,1264,240,1502,83248
0012,161349876005,23,0210,000000,GPMPOS,97780,1459,279,1733,96047
0012,914808558649,26,0210,000000,GPMPOS,112323,1742,329,2071,110252
0012,764879484311,20,0210,000000,GPMPOS,66510,991,188,1180,65330
0012,114073917813,1,0210,000000,GPMPOS,5000,75,14,89,4911
0012,129123820132,19,0210,000000,GPMPOS,122410,1923,364,2286,120124
0012,242103127189,46,0210,000000,GPMPOS,210990,3159,597,3761,207229
0012,153040690980,12,0210,000000,GPMPOS,108430,1616,306,1921,106509
0012,139081404626,23,0210,000000,GPMPOS,67280,1004,191,1193,66087
0012,886009976230,15,0210,000000,GPMPOS,102350,1524,288,1815,100535
0012,119096218630,48,0210,000000,GPMPOS,176880,2640,500,3134,173746
0012,638969257898,10,0210,000000,GPMPOS,52030,776,146,923,51107
0012,122168736956,58,0210,000000,GPMPOS,246130,3672,696,4360,241770
