ACQ_INST_ID,RETAILER_ID,TOTAL_TXN_CNT,MESSAGE_TYPE,PROCESSING_CODE,CHANNEL_TYPE,TOTAL_AMOUNT,TOTAL_COMMISSION,TOTAL_TAX,TOTAL_DISCOUNT,FINAL_AMOUNT
0014,00020,16,0210,000000,ALVI,53030,478,94,567,52463
0014,04217,30,0210,000000,ALVI,102640,925,177,1100,101540
0014,01806,12,0210,000000,ALVI,37840,342,65,406,37434
0014,01721,9,0210,000000,ALVI,30710,277,53,330,30380
0014,00171,11,0210,000000,ALVI,25870,233,43,276,25594
0014,00102,34,0210,000000,ALVI,170230,1534,290,1822,168408
0014,02436,6,0210,000000,ALVI,25650,231,44,275,25375
0014,00372,5,0210,000000,ALVI,13870,125,24,149,13721
0014,00422,20,0210,000000,ALVI,97040,874,166,1038,96002
0014,04195,1,0210,000000,ALVI,2850,26,5,31,2819
0014,02619,11,0210,000000,ALVI,28100,252,46,301,27799
0014,00761,12,0210,000000,ALVI,67810,610,116,727,67083
0014,01584,11,0210,000000,ALVI,33880,306,58,363,33517
0014,00049,4,0210,000000,ALVI,16550,148,28,177,16373
0014,01720,1,0210,000000,ALVI,1690,15,3,18,1672
0014,00484,5,0210,000000,ALVI,17180,154,30,183,16997
0014,00922,39,0210,000000,ALVI,106310,959,183,1136,105174
0014,00126,11,0210,000000,ALVI,49430,444,84,529,48901
0014,02142,26,0210,000000,ALVI,112490,1011,192,1206,111284
0014,02398,8,0210,000000,ALVI,19470,176,33,209,19261
0014,00469,1,0210,000000,ALVI,1900,17,3,20,1880
0014,004275,60,0210,000000,ALVI,319570,2894,552,3444,316126
0014,01259,19,0210,000000,ALVI,75450,716,136,854,74596
0014,01853,5,0210,000000,ALVI,13150,119,22,141,13009
0014,00978,20,0210,000000,ALVI,60540,545,105,648,59892
0014,03486,12,0210,000000,ALVI,94680,852,161,1013,93667
0014,00892,28,0210,000000,ALVI,140640,1265,242,1507,139133
0014,04237,38,0210,000000,ALVI,107320,966,182,1147,106173
0014,03849,12,0210,000000,ALVI,39990,360,66,429,39561
0014,01548,9,0210,000000,ALVI,34760,314,61,373,34387
0014,01795,32,0210,000000,ALVI,127080,1143,218,1361,125719
0014,004291,1,0210,000000,ALVI,10648,96,18,114,10534
0014,00759,30,0210,000000,ALVI,103040,1070,205,1273,101767
0014,00675,11,0210,000000,ALVI,42000,378,72,449,41551
0014,02319,3,0210,000000,ALVI,11140,101,19,119,11021
0014,01116,2,0210,000000,ALVI,12500,113,22,134,12366
0014,00426,14,0210,000000,ALVI,35910,332,62,399,35511
0014,01407,18,0210,000000,ALVI,63570,573,108,681,62889
0014,01726,14,0210,000000,ALVI,45150,407,76,484,44666
0014,04174,15,0210,000000,ALVI,70980,640,121,759,70221
