ACQ_INST_ID,RETAILER_ID,TOTAL_TXN_CNT,MESSAGE_TYPE,PROCESSING_CODE,CHANNEL_TYPE,TOTAL_AMOUNT,TOTAL_COMMISSION,TOTAL_TAX,TOTAL_DISCOUNT,FINAL_AMOUNT
2003,ClaroBP,2081,0210,000000,DA,51743010,234254,44487,278771,51464239
2003,JETSMARTALIANZA,359,0210,000000,DA,29209432,374282,71124,445393,28764039
2003,JETSMARTBP,1771,0210,000000,DA,181988744,3289348,624980,3914260,178074484
2003,ClaroRecarga,391,0210,000000,DA,2144940,43936,8385,52326,2092615
2003,MovistarBP,251,0210,000000,DA,7236033,27010,5128,32141,7203893
2003,KuposBP,415,0210,000000,DA,9798616,131243,24929,156167,9642452
2003,AIEPBP,221,0210,000000,DA,50360737,317390,60303,377701,49983036
2003,CLAROALIANZABP,179,0210,000000,DA,3532019,13957,2646,16618,3515401
2003,PAGAQUI,17,0210,000000,DA,1545813,0,0,0,1545813
2003,JETSMARTALIANZA,23,0210,200000,DA,586301,5313,1005,6320,579981
2003,MOVISTARRECBP,42,0210,000000,DA,141200,3020,584,3599,137604
2003,KuposBP,6,0420,000000,DA,71680,860,164,1024,70656
2003,COMPRAQUI01,53,0210,000000,DA,3084700,0,0,0,3084700
2003,JETSMARTBP,48,0210,200000,DA,2065012,27141,5152,32294,2032718
2003,COMERCIALINET,3,0210,000000,DA,68150,597,114,710,67440
2003,LIQSTORE2020,2,0210,000000,DA,90,6,1,7,83
2003,SACYRLAMPABP,1,0210,000000,DA,111920,649,123,772,111148
2003,14120747,23,0210,000000,DA,470932,8007,1523,9529,461403
2003,9194120658,5,0210,000000,DA,725000,5831,1107,6938,718062
2003,PAGAQUI,3,0420,000000,DA,103973,0,0,0,103973
2003,KuposBP,8,0210,200000,DA,91114,1124,214,1336,89778
2003,JETSMARTBP,1,0420,000000,DA,1298,24,5,29,1269
2003,ENTELRECARGASBP,2,0210,000000,DA,13000,195,38,233,12768
2003,SACYRSANTIAGOBP,1,0210,000000,DA,150960,634,120,754,150206
